name,max seats,price per plate,stars,views,min seats,region
thugs,66,600,4,1275,15,central delhi
kumar hotel,15,250,3,1886,5,west delhi
fruto fresh,50,350,3,1258,5,north west delhi
4 on 44,70,800,3,749,5,north west delhi
de bistro,40,300,2.5,2082,10,west delhi
eros,65,1700,3.5,1307,10,south east delhi
chungwa restaurant,35,600,3,904,10,south delhi
the playground,80,800,4,623,10,south west delhi
moments night club,200,400,3.8,1157,10,north west delhi
xpose lounge,180,700,4.1,544,10,north west delhi
air av ivory region,180,800,4,536,10,west delhi
the salt cafe kitchen and bar,1220,900,4,1476,10,east delhi
nanking restaurant and louge,50,1500,3,557,3,south west delhi 
urban hub,60,500,3,2027,3,north delhi
bnb bar and lounge,80,2000,3,507,3,west delhi
qds ,25,300,2,3976,3,east delhi
zook,150,450,4,2312,2,south delhi
caffe 9 ,100,900,4,366,3,central delhi
metro banquet,300,800,3,3391,50,west delhi
holiday inn,60,1250,4,616,10,south west delhi
himalaya sagar banquet,500,500,3,6815,300,west delhi
bbq by masabaa,60,1200,4,469,10,west delhi
the derby cookhouse,100,800,4,488,10,west delhi
embassy restaurant,50,500,3,1408,10,central delhi
hotel under bridge,300,800,2.8,820,25,south east delhi
fire n ice,40,650,3,1785,15,south west delhi
ego obession,65,750,3,1247,15,south west delhi
andaz delhi by hyatt,50,1500,4,274,10,south west delhi
castles barbeque,80,850,3,1190,10,west delhi
nizam kathi kabab,20,450,3,1210,10,west delhi
100 percent rock,500,500,3,1116,15,south west delhi
red bricks cafe,60,500,4.5,253,10,south delhi
tamura,50,750,3,1163,10,south delhi
garage . inc,80,500,3,1176,3,south delhi
the qube ,140,1200,3,996,10,south delhi
 rdx by rajinderda dhaba ,80,550,2,2508,15,south delhi 
sagar ratna ,40,300,2,1015,5,south west delhi
light house 13,200,900,4.4,1928,15,south delhi 
soho bistro and cafe ,80,1400,2,464,3,south delhi 
gianis,20,350,3,1442,10,south west delhi
cafe illuminatii,60,1250,3,211,5,south east delhi
not just paranthas,30,300,2,927,3,south delhi
urban cafe ,100,550,3,1070,20,south east delhi
smoksha cage and lounge ,30,400,2,44,10,north west delhi
ego thai,150,1250,3,1253,4,south delhi
zaitoon ,25,300,3,1154,10,south delhi
vault cafe ,150,800,4,208,2,central delhi
headphones ,80,1800,4,385,4,west delhi
mynt bar and lounge ,150,1000,3,547,5,south west delhi
pulse bar and restaurant,70,750,3.8,138,5,south west delhi
sagar ratna ,30,350,3,1555,2,north delhi
the goldeen dragon ,50,750,3,1696,3,south west delhi
mafia,80,1300,3,528,5,west delhi
andaz delhi by hyatt,50,1250,3,344,3,west delhi
keya,240,1500,2,33,30,south west delhi 
foresto lawn and restaurant ,150,1200,3,414,2,south west delhi
mafioso,100,1100,2,25,15,south delhi
breath fine lounge and bar ,60,1200,2,10,18,west delhi
house of peoplezz,50,500,2,12,15,south delhi
the green cafe ,60,550,2,12,15,north east delhi
northeastern and chinese cafe ,60,900,2,11,15,south delhi 
caboose x ,60,800,2,11,15,west delhi
kutumb restaurant ,60,700,2,14,15,north west delhi
bokan,60,1300,2,10,14, south delhi 
bo tai qutub,60,1800,2,11,15,south delhi
royal punjab ,100,600,2,11,50,south west delhi
the piano man jazz club ,120,1800,4,1716,40,south delhi 
the roseate ,50,2500,4,681,3,south west delhi
mezbaan family restaurant,40,450,2,1,10,south west delhi
the laalten ,60,900,2,43,20,north delhi
shalom,150,1500,2,12,50,south delhi
lord of the drinks chamber ,100,1800,3,1316,4,west delhi
lord of the drinks forum,100,1250,4,12,4,south east delhi
out of the box ,80,1500,3,320,5,south east delhi
master of malts,300,1600,4,610,10,central delhi
jaypee vasantcontinental,3000,1500,4,331,200,south west delhi
hotel sarthak,160,500,3.6,1286,5,central delhi
hotel swati deluxe,120,700,3.8,1027,4,central delhi
hotel tjs grand ,100,525,3.7,1746,5,central delhi
lazeez affaire ,40,750,4,1654,3,south delhi 
hotel signature grand,300,1200,3.9,2142,200,west delhi
fortune park bj avenue ,400,1500,4,2953,35,south west delhi
bercos,50,550,3.8,1599,5,north west delhi
bercos kamla nagar,50,550,3.8,1870,4,north delhi
blues,50,900,3,1157,5,central delhi
oliver bar and kitchen ,60,1500,4.3,3736,3,south delhi
gulati restaurant ,100,800,3.9,1395,4,east delhi
hotel gulnar ,35,800,3.7,1371,4,west delhi
hotel saar inn,100,525,3.5,1179,5,central delhi
swagath restaurant and bar ,70,1100,3.9,1478,2,south delhi
country inn and suites ,200,1800,4,1362,1,south delhi 
rasisson blu marina ,120,1200,3,2396,5,central delhi
hyatt regency ,35,1250,4,1437,30,south delhi 
bamyan the boutique hotel ,70,525,3.5,3103,25,south east delhi
hotel sarvar portico,100,1000,4,4440,1,south east delhi
york hotel ,50,70,3.5,1820,3,central delhi
hotel spb 87 ,115,400,3,1222,65,central delhi
orana hotels and resorrts ,1000,22000,4,2075,100,south west delhi
madira cafe ,80,1000,4,1572,4,west delhi
hauz khas social ,70,1500,4,1585,15,south delhi
themis barbecue house ,150,1400,4,884,5,north west delhi 
rabbit hole ,125,1800,4,876,2,south delhi
new kadimi restaurant ,150,700,3,696,5,west delhi
the firki bar ,50,1200,4,669,3,west delhi
harrys bar khan market,150,850,4.2,340,10,south east delhi
rbg bar and grill ,80,700,4.2,278,5,east delhi
the kitchen crew,250,450,4.2,975,40,south west delhi
the sweet jar,80,400,3.9,399,2,east delhi
the golden dragon restaurants,50,700,3.7,311,5,east delhi
hotel signature grand,150,1200,3.9,196,80,west delhi
flamess restaunrant ,60,700,2,98,10,north east delhi
pipeline cafe ,50,700,2,237,5,south west delhi
